"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1095","FAQ 5: Можно ли продлить заказ или вернуть самокат раньше?","tests","2025-11-05","passed","2025-11-05","TestMainPage","test_main_page","",""
"","1520","Переход по логотипу Самоката со страницы заказа","tests","2025-11-05","passed","2025-11-05","TestClicks","test_clicks","",""
"","1108","FAQ 2: Хочу сразу несколько самокатов! Так можно?","tests","2025-11-05","passed","2025-11-05","TestMainPage","test_main_page","",""
"","1037","FAQ 8: Я жизу за МКАДом, привезёте?","tests","2025-11-05","passed","2025-11-05","TestMainPage","test_main_page","",""
"","3086","Оформление заказа","tests","2025-11-05","passed","2025-11-05","TestOrderPage","test_order_page","",""
"","1228","FAQ 6: Вы привозите зарядку вместе с самокатом?","tests","2025-11-05","passed","2025-11-05","TestMainPage","test_main_page","",""
"","1036","FAQ 3: Как рассчитывается время аренды?","tests","2025-11-05","passed","2025-11-05","TestMainPage","test_main_page","",""
"","2849","Оформление заказа","tests","2025-11-05","passed","2025-11-05","TestOrderPage","test_order_page","",""
"","1009","FAQ 7: Можно ли отменить заказ?","tests","2025-11-05","passed","2025-11-05","TestMainPage","test_main_page","",""
"","1063","FAQ 4: Можно ли заказать самокат прямо на сегодня?","tests","2025-11-05","passed","2025-11-05","TestMainPage","test_main_page","",""
"","1107","FAQ 1: Сколько это стоит? И как оплатить?","tests","2025-11-05","passed","2025-11-05","TestMainPage","test_main_page","",""
"","2039","Переход по логотипу Яндекса с главной страницы","tests","2025-11-05","passed","2025-11-05","TestClicks","test_clicks","",""
